Signal_ID,Signal,State,Original_Weight,Adjusted_Weight,Final_Weight,Evidence_Type,Activation_Condition,Notes,,,,,,,,State ,Count,Summation of All signal weigths,"max(ln(weight) , 1)",ceil(ln(weight))
SIG_06,prompt_dismiss_time_ms,Fatigue,0.65,0.325,0.516,POSITIVE,THRESHOLD_BASED,Fatigue leads to quick decisions to conserve energy,,,,,,,,,,,,
SIG_06,prompt_dismiss_time_ms,Rushing,0.94,0.47,0.515,POSITIVE,THRESHOLD_BASED,Fast dismissals (<200ms) strongly indicate rushing without reading,,,,,,,,,,,,
SIG_06,prompt_dismiss_time_ms,Stress,0.82,0.41,0.41,POSITIVE,THRESHOLD_BASED,Anxiety and time pressure drive rapid dismissals,,,,,,,,,,,,
SIG_07,review_ui_open_event_count,Alert Fatigue,,,-0.65,NEGATIVE,value > 50%,High review activity contradicts skipping reviews,,,,,,,,,,,,
SIG_07,review_ui_open_event_count,Complacency,,,-0.65,NEGATIVE,value > 50%,High review activity contradicts skipping reviews,,,,,,,,,,,,
SIG_07,review_ui_open_event_count,Rushing,,,-0.65,NEGATIVE,value > 50%,High review activity contradicts skipping reviews,,,,,,,,,,,,
SIG_07,review_ui_open_event_count,Complacency,0.75,0.433,0.336,POSITIVE,THRESHOLD_BASED,Skipping reviews indicates complacent process attitude,,,,,,,,,,,,
SIG_07,review_ui_open_event_count,Fatigue,0.72,0.416,0.66,POSITIVE,THRESHOLD_BASED,Tired users avoid cognitively demanding review tasks,,,,,,,,,,,,
SIG_07,review_ui_open_event_count,Rushing,0.88,0.508,0.556,POSITIVE,THRESHOLD_BASED,Low count (<50% expected) indicates skipping reviews under pressure,,,,,,,,,,,,
SIG_08,task_state_change_event_count,Boredom / Repetition,,,-0.55,NEGATIVE,value > 20,Rapid state changes contradict disengagement,,,,,,,,,,,,
SIG_08,task_state_change_event_count,Complacency,,,-0.55,NEGATIVE,value > 20,Rapid state changes contradict disengagement,,,,,,,,,,,,
SIG_08,task_state_change_event_count,Fatigue,,,-0.55,NEGATIVE,value > 20,Rapid state changes contradict disengagement,,,,,,,,,,,,
SIG_08,task_state_change_event_count,Multitasking,0.75,0.433,0.609,POSITIVE,THRESHOLD_BASED,Can reflect jumping between tasks rapidly,,,,,,,,,,,,
SIG_08,task_state_change_event_count,Rushing,0.85,0.491,0.538,POSITIVE,THRESHOLD_BASED,Rapid state changes (>20/task) indicate deadline-driven velocity,,,,,,,,,,,,
SIG_08,task_state_change_event_count,Stress,0.72,0.416,0.416,POSITIVE,THRESHOLD_BASED,Overwhelming workload drives rapid state changes,,,,,,,,,,,,
SIG_09,paste_followed_by_error_count,Complacency,,,-0.5,NEGATIVE,value >= 3,Paste errors contradict complacent trust,,,,,,,,,,,,
SIG_09,paste_followed_by_error_count,Automation Bias,0.72,0.36,0.1,POSITIVE,THRESHOLD_BASED,Over-reliance on IDE to catch paste errors,,,,,,,,,,,,
SIG_09,paste_followed_by_error_count,Cognitive Overload,0.82,0.41,0.485,POSITIVE,THRESHOLD_BASED,Errors suggest not understanding pasted content due to overload,,,,,,,,,,,,
SIG_09,paste_followed_by_error_count,Fatigue,0.75,0.375,0.595,POSITIVE,THRESHOLD_BASED,Fatigue leads to not verifying pasted content,,,,,,,,,,,,
SIG_09,paste_followed_by_error_count,Rushing,0.92,0.46,0.504,POSITIVE,THRESHOLD_BASED,Copy-paste errors (>3/session) strongly indicate rushed careless work,,,,,,,,,,,,
SIG_10,remediation_action_event_count,Boredom / Repetition,,,-0.65,NEGATIVE,value > 5,High remediation activity contradicts energy depletion,,,,,,,,,,,,
SIG_10,remediation_action_event_count,Complacency,,,-0.65,NEGATIVE,value > 5,High remediation activity contradicts energy depletion,,,,,,,,,,,,
SIG_10,remediation_action_event_count,Fatigue,,,-0.65,NEGATIVE,value > 5,High remediation activity contradicts energy depletion,,,,,,,,,,,,
SIG_10,remediation_action_event_count,Cognitive Overload,0.78,0.45,0.532,POSITIVE,THRESHOLD_BASED,Many actions indicate cognitive struggle with incident complexity,,,,,,,,,,,,
SIG_10,remediation_action_event_count,Rushing,0.92,0.531,0.582,POSITIVE,THRESHOLD_BASED,High count (>5/session) indicates rapid-fire fixes during incidents,,,,,,,,,,,,
SIG_10,remediation_action_event_count,Stress,0.85,0.491,0.491,POSITIVE,THRESHOLD_BASED,Incident stress correlates with high remediation activity,,,,,,,,,,,,
SIG_11,undo_event_count_per_session,Cognitive Overload,0.85,0.425,0.502,POSITIVE,THRESHOLD_BASED,Many undos suggest difficulty managing complexity,,,,,,,,,,,,
SIG_11,undo_event_count_per_session,Fatigue,0.75,0.375,0.595,POSITIVE,THRESHOLD_BASED,Tired users make more reversible mistakes,,,,,,,,,,,,
SIG_11,undo_event_count_per_session,Rushing,0.88,0.44,0.482,POSITIVE,THRESHOLD_BASED,Frequent undo (>10/session) indicates trial-error under time pressure,,,,,,,,,,,,
SIG_11,undo_event_count_per_session,Stress,0.78,0.39,0.39,POSITIVE,THRESHOLD_BASED,Anxiety drives mistakes requiring reversals,,,,,,,,,,,,
SIG_12,window_switches_per_minute,Boredom / Repetition,,,-0.7,NEGATIVE,value > 15,High switching rate contradicts cognitive depletion,,,,,,,,,,,,
SIG_12,window_switches_per_minute,Fatigue,,,-0.7,NEGATIVE,value > 15,High switching rate contradicts cognitive depletion,,,,,,,,,,,,
SIG_12,window_switches_per_minute,Multitasking,,,-0.7,NEGATIVE,value < 5,Low switching contradicts multitasking,,,,,,,,,,,,
SIG_12,window_switches_per_minute,Cognitive Overload,0.8,0.462,0.546,POSITIVE,THRESHOLD_BASED,Excessive switching reflects cognitive strain from information overload,,,,,,,,,,,,
SIG_12,window_switches_per_minute,Multitasking,0.96,0.554,0.779,POSITIVE,THRESHOLD_BASED,High rate (>15/min) is strongest direct indicator of context switching,,,,,,,,,,,,
SIG_12,window_switches_per_minute,Stress,0.75,0.433,0.433,POSITIVE,THRESHOLD_BASED,Overwhelming workload drives rapid switching,,,,,,,,,,,,
SIG_13,focus_loss_event_count,Cognitive Overload,0.75,0.375,0.443,POSITIVE,THRESHOLD_BASED,Managing constraints causes focus shifting,,,,,,,,,,,,
SIG_13,focus_loss_event_count,Communication Failures,0.8,0.4,0.1,POSITIVE,THRESHOLD_BASED,Interruptions indicate communication chaos,,,,,,,,,,,,
SIG_13,focus_loss_event_count,Multitasking,0.92,0.46,0.647,POSITIVE,THRESHOLD_BASED,High count (>30/session) directly indicates fragmented attention,,,,,,,,,,,,
SIG_13,focus_loss_event_count,Stress,0.6,0.3,0.3,POSITIVE,THRESHOLD_BASED,Overwhelming workload leads to frequent interruptions,,,,,,,,,,,,
SIG_14,concurrent_active_tasks_count,Boredom / Repetition,,,-0.6,NEGATIVE,value > 4,Many concurrent tasks contradict disengagement,,,,,,,,,,,,
SIG_14,concurrent_active_tasks_count,Complacency,,,-0.6,NEGATIVE,value > 4,Many concurrent tasks contradict disengagement,,,,,,,,,,,,
SIG_14,concurrent_active_tasks_count,Fatigue,,,-0.6,NEGATIVE,value > 4,Many concurrent tasks contradict disengagement,,,,,,,,,,,,
SIG_14,concurrent_active_tasks_count,Cognitive Overload,0.85,0.491,0.58,POSITIVE,THRESHOLD_BASED,Many active contexts increase cognitive burden,,,,,,,,,,,,
SIG_14,concurrent_active_tasks_count,Multitasking,0.94,0.543,0.763,POSITIVE,THRESHOLD_BASED,High count (>4 simultaneous) directly measures parallel task handling,,,,,,,,,,,,
SIG_14,concurrent_active_tasks_count,Stress,0.78,0.45,0.45,POSITIVE,THRESHOLD_BASED,Overwhelming workload creates task parallelism,,,,,,,,,,,,
SIG_15,active_application_count,Boredom / Repetition,,,-0.5,NEGATIVE,value > 8,Many active apps contradict cognitive conservation,,,,,,,,,,,,
SIG_15,active_application_count,Fatigue,,,-0.5,NEGATIVE,value > 8,Many active apps contradict cognitive conservation,,,,,,,,,,,,
SIG_15,active_application_count,Cognitive Load,0.78,0.45,0.22,POSITIVE,THRESHOLD_BASED,Multiple applications create information density,,,,,,,,,,,,
SIG_15,active_application_count,Cognitive Overload,0.85,0.491,0.58,POSITIVE,THRESHOLD_BASED,Tool sprawl increases cognitive UI burden,,,,,,,,,,,,
SIG_15,active_application_count,Multitasking,0.9,0.52,0.73,POSITIVE,THRESHOLD_BASED,High count (>8 applications) indicates managing many tools simultaneously,,,,,,,,,,,,
SIG_16,message_response_delay_ms,Communication Failures,,,-0.7,NEGATIVE,value < 300000,Fast message response contradicts communication breakdown,,,,,,,,,,,,
SIG_16,message_response_delay_ms,Communication,0.82,0.41,0.1,POSITIVE,THRESHOLD_BASED,Reflects general asynchronous communication issues,,,,,,,,,,,,
SIG_16,message_response_delay_ms,Communication Failures,0.85,0.425,0.1,POSITIVE,THRESHOLD_BASED,Slow responses lead to escalation failures,,,,,,,,,,,,
SIG_16,message_response_delay_ms,Fatigue,0.75,0.375,0.595,POSITIVE,THRESHOLD_BASED,Fatigue slows communication responsiveness,,,,,,,,,,,,
SIG_16,message_response_delay_ms,Multitasking,0.88,0.44,0.618,POSITIVE,THRESHOLD_BASED,Long delays (>30min) indicate attention divided across channels,,,,,,,,,,,,
SIG_17,overnight_activity_flag,Boredom / Repetition,,,-0.85,NEGATIVE,value == 1,Overnight work contradicts complacent attitude,,,,,,,,,,,,
SIG_17,overnight_activity_flag,Complacency,,,-0.85,NEGATIVE,value == 1,Overnight work contradicts complacent attitude,,,,,,,,,,,,
SIG_17,overnight_activity_flag,Fatigue,0.98,0.566,0.898,POSITIVE,THRESHOLD_BASED,Activity between 00:00-06:00 is strongest indicator of circadian misalignment,,,,,,,,,,,,
SIG_17,overnight_activity_flag,Rushing,0.75,0.433,0.474,POSITIVE,THRESHOLD_BASED,Late-night incidents often involve rushed emergency responses,,,,,,,,,,,,
SIG_17,overnight_activity_flag,Stress,0.8,0.462,0.462,POSITIVE,THRESHOLD_BASED,Overnight work correlates with on-call stress and anxiety,,,,,,,,,,,,
SIG_18,continuous_work_duration_minutes,Cognitive Overload,0.72,0.416,0.491,POSITIVE,THRESHOLD_BASED,Sustained work without breaks creates information overload,,,,,,,,,,,,
SIG_18,continuous_work_duration_minutes,Fatigue,0.92,0.531,0.843,POSITIVE,THRESHOLD_BASED,Long sessions (>180min) indicate sustained load without recovery,,,,,,,,,,,,
SIG_18,continuous_work_duration_minutes,Stress,0.82,0.473,0.473,POSITIVE,THRESHOLD_BASED,Long continuous sessions correlate with chronic workplace stress,,,,,,,,,,,,
SIG_19,median_interaction_latency_ms,Cognitive Overload,,,-0.55,NEGATIVE,value < 200,Fast interactions contradict cognitive struggle,,,,,,,,,,,,
SIG_19,median_interaction_latency_ms,Fatigue,,,-0.55,NEGATIVE,value < 200,Fast interactions contradict cognitive struggle,,,,,,,,,,,,
SIG_19,median_interaction_latency_ms,Boredom / Repetition,0.7,0.404,0.1,POSITIVE,THRESHOLD_BASED,Slow interactions may reflect bored monotonous monitoring,,,,,,,,,,,,
SIG_19,median_interaction_latency_ms,Cognitive Overload,0.78,0.45,0.532,POSITIVE,THRESHOLD_BASED,Cognitive overload slows interaction processing,,,,,,,,,,,,
SIG_19,median_interaction_latency_ms,Fatigue,0.88,0.508,0.807,POSITIVE,THRESHOLD_BASED,Increasing latency indicates slowing due to tiredness,,,,,,,,,,,,
SIG_20,error_rate_over_session,Cognitive Overload,,,-0.65,NEGATIVE,value < 0.10,Low error rate contradicts cognitive strain,,,,,,,,,,,,
SIG_20,error_rate_over_session,Fatigue,,,-0.65,NEGATIVE,value < 0.10,Low error rate contradicts cognitive strain,,,,,,,,,,,,
SIG_20,error_rate_over_session,Stress,,,-0.65,NEGATIVE,value < 0.10,Low error rate contradicts cognitive strain,,,,,,,,,,,,
SIG_20,error_rate_over_session,Cognitive Overload,0.7,0.35,0.414,POSITIVE,THRESHOLD_BASED,Information overload causes mistakes,,,,,,,,,,,,
SIG_20,error_rate_over_session,Fatigue,0.92,0.46,0.73,POSITIVE,THRESHOLD_BASED,Increasing error rate (>20% rise) late in session indicates fatigue,,,,,,,,,,,,
SIG_20,error_rate_over_session,Rushing,0.78,0.39,0.427,POSITIVE,THRESHOLD_BASED,Panic-induced errors show up in error rate,,,,,,,,,,,,
SIG_20,error_rate_over_session,Stress,0.82,0.41,0.41,POSITIVE,THRESHOLD_BASED,Chronic stress increases error frequency,,,,,,,,,,,,
SIG_21,action_count_after_alert_close,Alert Fatigue,,,-0.6,NEGATIVE,value > 5,Post-alert activity contradicts dismissive behavior,,,,,,,,,,,,
SIG_21,action_count_after_alert_close,Rushing,,,-0.6,NEGATIVE,value > 5,Post-alert activity contradicts dismissive behavior,,,,,,,,,,,,
SIG_21,action_count_after_alert_close,Alert Fatigue,0.75,0.433,0.387,POSITIVE,THRESHOLD_BASED,Reduced activity reflects relief from alert pressure,,,,,,,,,,,,
SIG_21,action_count_after_alert_close,Complacency,0.8,0.462,0.359,POSITIVE,THRESHOLD_BASED,Low activity suggests complacent post-resolution behavior,,,,,,,,,,,,
SIG_21,action_count_after_alert_close,Fatigue,0.94,0.543,0.862,POSITIVE,THRESHOLD_BASED,Low count (<5 actions) after alert indicates reduced vigilance,,,,,,,,,,,,
SIG_22,typing_speed_characters_per_minute,Cognitive Overload,,,-0.6,NEGATIVE,value > 250,High typing speed contradicts physical/cognitive fatigue,,,,,,,,,,,,
SIG_22,typing_speed_characters_per_minute,Fatigue,,,-0.6,NEGATIVE,value > 250,High typing speed contradicts physical/cognitive fatigue,,,,,,,,,,,,
SIG_22,typing_speed_characters_per_minute,Cognitive Overload,0.78,0.45,0.532,POSITIVE,THRESHOLD_BASED,Complexity slows typing as user thinks more,,,,,,,,,,,,
SIG_22,typing_speed_characters_per_minute,Fatigue,0.9,0.52,0.825,POSITIVE,THRESHOLD_BASED,Declining typing speed indicates mental and physical fatigue,,,,,,,,,,,,
SIG_22,typing_speed_characters_per_minute,Stress,0.68,0.393,0.393,POSITIVE,THRESHOLD_BASED,Anxiety slows typing due to second-guessing,,,,,,,,,,,,
SIG_23,simultaneous_information_sources_count,Cognitive Load,0.88,0.508,0.249,POSITIVE,THRESHOLD_BASED,High source count creates cognitive processing burden,,,,,,,,,,,,
SIG_23,simultaneous_information_sources_count,Cognitive Overload,0.96,0.554,0.655,POSITIVE,THRESHOLD_BASED,High count (>6 sources) directly measures information saturation,,,,,,,,,,,,
SIG_23,simultaneous_information_sources_count,Multitasking,0.85,0.491,0.69,POSITIVE,THRESHOLD_BASED,Many sources indicate multitasking across information streams,,,,,,,,,,,,
SIG_24,decision_latency_ms,Automation Bias,,,-0.75,NEGATIVE,value > 60000,Long deliberation contradicts rushing/carelessness,,,,,,,,,,,,
SIG_24,decision_latency_ms,Complacency,,,-0.75,NEGATIVE,value > 60000,Long deliberation contradicts rushing/carelessness,,,,,,,,,,,,
SIG_24,decision_latency_ms,Rushing,,,-0.75,NEGATIVE,value > 60000,Long deliberation contradicts rushing/carelessness,,,,,,,,,,,,
SIG_24,decision_latency_ms,Cognitive Load,0.88,0.44,0.215,POSITIVE,THRESHOLD_BASED,Complexity requires extended thinking time,,,,,,,,,,,,
SIG_24,decision_latency_ms,Cognitive Overload,0.96,0.48,0.568,POSITIVE,THRESHOLD_BASED,Very high latency (>60s) is strongest indicator of decision paralysis,,,,,,,,,,,,
SIG_24,decision_latency_ms,Fatigue,0.82,0.41,0.651,POSITIVE,THRESHOLD_BASED,Tired decision-making slows process,,,,,,,,,,,,
SIG_24,decision_latency_ms,Stress,0.75,0.375,0.375,POSITIVE,THRESHOLD_BASED,Anxiety slows decision-making due to fear of mistakes,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Alert Fatigue,,,-0.7,NEGATIVE,value > 5,Frequent revisits contradict hurried/careless behavior,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Complacency,,,-0.7,NEGATIVE,value > 5,Frequent revisits contradict hurried/careless behavior,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Rushing,,,-0.7,NEGATIVE,value > 5,Frequent revisits contradict hurried/careless behavior,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Cognitive Load,0.88,0.44,0.215,POSITIVE,THRESHOLD_BASED,Revisits suggest lost track of dependencies,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Cognitive Overload,0.92,0.46,0.544,POSITIVE,THRESHOLD_BASED,Frequent re-checking (>5/session) indicates difficulty maintaining understanding,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Fatigue,0.62,0.31,0.492,POSITIVE,THRESHOLD_BASED,Exhaustion causes memory loss requiring revisits,,,,,,,,,,,,
SIG_25,revisit_same_context_count,Multitasking,0.78,0.39,0.548,POSITIVE,THRESHOLD_BASED,Returning after context switches to regain understanding,,,,,,,,,,,,
SIG_26,inactive_task_duration_ms,Cognitive Load,0.85,0.425,0.208,POSITIVE,THRESHOLD_BASED,Extended pause indicates struggling with novel problem,,,,,,,,,,,,
SIG_26,inactive_task_duration_ms,Cognitive Overload,0.88,0.44,0.52,POSITIVE,THRESHOLD_BASED,Long inactivity (>10min) suggests lost thread on complex task,,,,,,,,,,,,
SIG_26,inactive_task_duration_ms,Fatigue,0.75,0.375,0.595,POSITIVE,THRESHOLD_BASED,Exhaustion leads to giving up temporarily,,,,,,,,,,,,
SIG_26,inactive_task_duration_ms,Multitasking,0.78,0.39,0.548,POSITIVE,THRESHOLD_BASED,Inactivity reflects attention switched elsewhere,,,,,,,,,,,,
SIG_27,context_switch_interval_ms,Cognitive Load,0.9,0.45,0.22,POSITIVE,THRESHOLD_BASED,Short intervals (<30s) indicate thrashing due to complexity,,,,,,,,,,,,
SIG_27,context_switch_interval_ms,Cognitive Overload,0.85,0.425,0.502,POSITIVE,THRESHOLD_BASED,Rapid switching reflects inability to hold complex model,,,,,,,,,,,,
SIG_27,context_switch_interval_ms,Multitasking,0.82,0.41,0.576,POSITIVE,THRESHOLD_BASED,Reflects general high-frequency context switching,,,,,,,,,,,,
SIG_27,context_switch_interval_ms,Stress,0.68,0.34,0.34,POSITIVE,THRESHOLD_BASED,Overwhelming workload creates thrashing behavior,,,,,,,,,,,,
SIG_28,deadline_proximity_ratio,Cognitive Overload,0.7,0.404,0.478,POSITIVE,THRESHOLD_BASED,Time pressure increases cognitive burden,,,,,,,,,,,,
SIG_28,deadline_proximity_ratio,Rushing,0.92,0.531,0.582,POSITIVE,THRESHOLD_BASED,Deadline proximity drives rushing behavior,,,,,,,,,,,,
SIG_28,deadline_proximity_ratio,Stress,0.94,0.543,0.543,POSITIVE,THRESHOLD_BASED,Low ratio (<0.2) directly measures severe time pressure stress,,,,,,,,,,,,
SIG_29,error_burst_frequency,Boredom / Repetition,,,-0.6,NEGATIVE,value >= 3,Error bursts contradict complacent mechanical behavior,,,,,,,,,,,,
SIG_29,error_burst_frequency,Complacency,,,-0.6,NEGATIVE,value >= 3,Error bursts contradict complacent mechanical behavior,,,,,,,,,,,,
SIG_29,error_burst_frequency,Cognitive Overload,0.75,0.375,0.443,POSITIVE,THRESHOLD_BASED,Complexity overload causes error bursts,,,,,,,,,,,,
SIG_29,error_burst_frequency,Fatigue,0.85,0.425,0.675,POSITIVE,THRESHOLD_BASED,Mental exhaustion manifests as clustered errors,,,,,,,,,,,,
SIG_29,error_burst_frequency,Rushing,0.82,0.41,0.449,POSITIVE,THRESHOLD_BASED,Panic leads to burst of mistakes,,,,,,,,,,,,
SIG_29,error_burst_frequency,Stress,0.92,0.46,0.46,POSITIVE,THRESHOLD_BASED,Error clusters (>=3 in 60s) strongly indicate stress-induced mistakes,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Cognitive Overload,,,-0.75,NEGATIVE,value >= 5,Mechanical repetition contradicts pressure states,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Rushing,,,-0.75,NEGATIVE,value >= 5,Mechanical repetition contradicts pressure states,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Stress,,,-0.75,NEGATIVE,value >= 5,Mechanical repetition contradicts pressure states,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Alert Fatigue,0.75,0.375,0.335,POSITIVE,THRESHOLD_BASED,Reflects habituated response pattern,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Automation Bias,0.6,0.3,0.1,POSITIVE,THRESHOLD_BASED,Mechanical checking becomes trust in automation,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Boredom / Repetition,0.94,0.47,0.1,POSITIVE,THRESHOLD_BASED,Identical repeated actions >=5 in row) strongly indicate autopilot mode,,,,,,,,,,,,
SIG_30,identical_action_sequence_count,Complacency,0.85,0.425,0.33,POSITIVE,THRESHOLD_BASED,Mindless repetition indicates complacent execution,,,,,,,,,,,,
SIG_31,interaction_rhythm_variance,Cognitive Overload,,,-0.6,NEGATIVE,value < 0.3,Low rhythm variance contradicts erratic pressure behavior,,,,,,,,,,,,
SIG_31,interaction_rhythm_variance,Rushing,,,-0.6,NEGATIVE,value < 0.3,Low rhythm variance contradicts erratic pressure behavior,,,,,,,,,,,,
SIG_31,interaction_rhythm_variance,Stress,,,-0.6,NEGATIVE,value < 0.3,Low rhythm variance contradicts erratic pressure behavior,,,,,,,,,,,,
SIG_31,interaction_rhythm_variance,Boredom / Repetition,0.88,0.508,0.1,POSITIVE,THRESHOLD_BASED,Low variance indicates mechanical bored behavior,,,,,,,,,,,,
SIG_31,interaction_rhythm_variance,Complacency,0.78,0.45,0.35,POSITIVE,THRESHOLD_BASED,Mechanical rhythm suggests complacent reliance,,,,,,,,,,,,
SIG_31,interaction_rhythm_variance,Fatigue,0.68,0.393,0.623,POSITIVE,THRESHOLD_BASED,Exhaustion creates mechanical rhythm,,,,,,,,,,,,
SIG_32,message_read_without_reply_count,Communication,,,-0.55,NEGATIVE,value < 3,Low read-without-reply contradicts general comm issues,,,,,,,,,,,,
SIG_32,message_read_without_reply_count,Communication,0.85,0.38,0.1,POSITIVE,THRESHOLD_BASED,Reflects asynchronous communication issues,,,,,,,,,,,,
SIG_32,message_read_without_reply_count,Communication Failures,0.9,0.402,0.1,POSITIVE,THRESHOLD_BASED,Not replying (within 30min) indicates communication breakdown,,,,,,,,,,,,
SIG_32,message_read_without_reply_count,Fatigue,0.62,0.277,0.44,POSITIVE,THRESHOLD_BASED,Exhaustion leads to avoiding responses,,,,,,,,,,,,
SIG_32,message_read_without_reply_count,Multitasking,0.78,0.349,0.49,POSITIVE,THRESHOLD_BASED,Overload leads to dropping communications,,,,,,,,,,,,
SIG_32,message_read_without_reply_count,Prioritization Errors,0.72,0.322,0.1,POSITIVE,THRESHOLD_BASED,Selective response indicates poor prioritization,,,,,,,,,,,,
SIG_33,meeting_attendance_without_participation,Communication,,,-0.5,NEGATIVE,value > 0.3,Active participation contradicts comm issues,,,,,,,,,,,,
SIG_33,meeting_attendance_without_participation,Boredom / Repetition,0.75,0.335,0.1,POSITIVE,THRESHOLD_BASED,Passive attendance treats meetings as checkbox exercise,,,,,,,,,,,,
